year,type,burned_pixels
0,herbaceous,3815.384314
1,herbaceous,4595.47451
2,herbaceous,4254.439216
3,herbaceous,6383.12549
4,herbaceous,6946.839216
5,herbaceous,4308.615686
6,herbaceous,6709.556863
7,herbaceous,5957.023529
8,herbaceous,4455.207843
9,herbaceous,6427.219608
10,herbaceous,7318.294118
11,herbaceous,6010.662745
12,herbaceous,9406.839216
13,herbaceous,9686.05098
14,herbaceous,10606.41176
15,herbaceous,9007.380392
16,herbaceous,5756.976471
17,herbaceous,6175.447059
18,herbaceous,7235.380392
0,savanna,13842.75294
1,savanna,17253.00392
2,savanna,15161.07059
3,savanna,25281.64706
4,savanna,23643.67059
5,savanna,16263.68235
6,savanna,27220.53725
7,savanna,17003.63529
8,savanna,16659.27059
9,savanna,26273.36863
10,savanna,19356.77647
11,savanna,21529.16471
12,savanna,25577.19216
13,savanna,27177.74902
14,savanna,26033.46275
15,savanna,25021.93725
16,savanna,17015.56078
17,savanna,19747.36863
18,savanna,27128.29412
0,woody_vegetation,7983.945098
1,woody_vegetation,7104.372549
2,woody_vegetation,7104.066667
3,woody_vegetation,12303.26667
4,woody_vegetation,9983.913725
5,woody_vegetation,8056.117647
6,woody_vegetation,13962.7098
7,woody_vegetation,6819.654902
8,woody_vegetation,8936.219608
9,woody_vegetation,13966.04706
10,woody_vegetation,6704.72549
11,woody_vegetation,10153.56078
12,woody_vegetation,10342.26275
13,woody_vegetation,11452.12941
14,woody_vegetation,10115.78431
15,woody_vegetation,10607.58824
16,woody_vegetation,7411.482353
17,woody_vegetation,7380.403922
18,woody_vegetation,12100
0,burned_loss,1129.568627
1,burned_loss,2018.654902
2,burned_loss,2092.286275
3,burned_loss,3408.45098
4,burned_loss,4222.282353
5,burned_loss,3089.34902
6,burned_loss,4797.784314
7,burned_loss,4315.713725
8,burned_loss,6392.423529
9,burned_loss,10053.95686
10,burned_loss,9752.486275
11,burned_loss,11634.73725
12,burned_loss,14408.94118
13,burned_loss,14399.57647
14,burned_loss,15401.64314
15,burned_loss,15935.62745
16,burned_loss,8803.027451
17,burned_loss,8488.396078
18,burned_loss,12186.3098
