year,herbaceous,savanna,woody_vegetation,burned_loss
0,3815.384314,13842.75294,7983.945098,1129.568627
1,4595.47451,17253.00392,7104.372549,2018.654902
2,4254.439216,15161.07059,7104.066667,2092.286275
3,6383.12549,25281.64706,12303.26667,3408.45098
4,6946.839216,23643.67059,9983.913725,4222.282353
5,4308.615686,16263.68235,8056.117647,3089.34902
6,6709.556863,27220.53725,13962.7098,4797.784314
7,5957.023529,17003.63529,6819.654902,4315.713725
8,4455.207843,16659.27059,8936.219608,6392.423529
9,6427.219608,26273.36863,13966.04706,10053.95686
10,7318.294118,19356.77647,6704.72549,9752.486275
11,6010.662745,21529.16471,10153.56078,11634.73725
12,9406.839216,25577.19216,10342.26275,14408.94118
13,9686.05098,27177.74902,11452.12941,14399.57647
14,10606.41176,26033.46275,10115.78431,15401.64314
15,9007.380392,25021.93725,10607.58824,15935.62745
16,5756.976471,17015.56078,7411.482353,8803.027451
17,6175.447059,19747.36863,7380.403922,8488.396078
18,7235.380392,27128.29412,12100,12186.3098
