year,lctype,FRP
0,1,8367362.83
1,1,8435071.16
2,1,7641225.73
3,1,11530501.17
4,1,11615429.60
5,1,6516502.17
6,1,10996806.71
7,1,7208690.71
8,1,7102983.70
9,1,9487912.06
10,1,8308211.02
11,1,7621517.49
12,1,11528417.75
13,1,13581107.94
14,1,15289560.32
15,1,11074443.07
16,1,7498598.20
17,1,6881082.61
18,1,9710270.49
0,2,35654192.29
1,2,43142617.69
2,2,34973800.85
3,2,60103781.03
4,2,40835042.23
5,2,41390518.60
6,2,80443743.96
7,2,30614998.72
8,2,42036050.89
9,2,60364376.32
10,2,35811957.87
11,2,42160576.62
12,2,49190995.33
13,2,47163273.67
14,2,46861030.47
15,2,40324647.38
16,2,27004753.01
17,2,24149104.96
18,2,35990985.18
0,3,52674826.00
1,3,38713591.10
2,3,33043532.30
3,3,61738248.58
4,3,35512850.05
5,3,41277963.35
6,3,76462041.60
7,3,28472394.55
8,3,48408557.93
9,3,69475626.77
10,3,25571175.14
11,3,37903534.53
12,3,42933727.72
13,3,39057566.10
14,3,34671111.25
15,3,33747411.11
16,3,30155480.79
17,3,21645979.65
18,3,27777853.57
0,4,5897230.92
1,4,8222593.82
2,4,6171296.01
3,4,9590856.95
4,4,9555886.20
5,4,7347517.69
6,4,13806285.28
7,4,8117859.90
8,4,17449178.84
9,4,24342040.93
10,4,21938113.32
11,4,29738794.98
12,4,45861809.92
13,4,35615244.20
14,4,33607727.21
15,4,32210778.93
16,4,20033837.93
17,4,14564898.27
18,4,19577488.61
